https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1644690480000,2022-02-12 18:28:00,BTC/USDT,42873.43,42875.77,42822,42836.15,23.99341
1644690420000,2022-02-12 18:27:00,BTC/USDT,42874.77,42899.99,42862.48,42873.44,17.92962
1644690360000,2022-02-12 18:26:00,BTC/USDT,42905.86,42905.87,42874.5,42874.77,25.73858
1644690300000,2022-02-12 18:25:00,BTC/USDT,42923.65,42946.77,42905.86,42905.87,20.48109
1644690240000,2022-02-12 18:24:00,BTC/USDT,42951.5,42958.18,42900.38,42923.65,13.86887
1644690180000,2022-02-12 18:23:00,BTC/USDT,42894.57,42954.17,42891.49,42953.34,10.15293
1644690120000,2022-02-12 18:22:00,BTC/USDT,42890.99,42912.32,42884.02,42894.57,12.28934
1644690060000,2022-02-12 18:21:00,BTC/USDT,42916.4,42928.1,42873.81,42897.25,72.2476
1644690000000,2022-02-12 18:20:00,BTC/USDT,42983.6,42986.27,42910.58,42916.41,39.70586
1644689940000,2022-02-12 18:19:00,BTC/USDT,42981.7,43079.49,42948.95,42983.59,123.7601
1644689880000,2022-02-12 18:18:00,BTC/USDT,42984.28,43000,42981,42981.7,34.82033
1644689820000,2022-02-12 18:17:00,BTC/USDT,42961.76,42998.77,42959.61,42984.28,41.26858
1644689760000,2022-02-12 18:16:00,BTC/USDT,42991.47,42995.84,42957.2,42961.76,42.07149
1644689700000,2022-02-12 18:15:00,BTC/USDT,42945.14,42995.36,42940.84,42991.46,75.72968
1644689640000,2022-02-12 18:14:00,BTC/USDT,42970,42970,42918.76,42945.14,30.14448
1644689580000,2022-02-12 18:13:00,BTC/USDT,42921.56,42970,42921.55,42969.99,39.0423
1644689520000,2022-02-12 18:12:00,BTC/USDT,42910.63,42927.43,42867.71,42921.56,33.9244
1644689460000,2022-02-12 18:11:00,BTC/USDT,42896.57,42926.74,42895.1,42910.62,17.45663
1644689400000,2022-02-12 18:10:00,BTC/USDT,42898.69,42898.7,42855.67,42895.1,11.17403
1644689340000,2022-02-12 18:09:00,BTC/USDT,42899.96,42924.78,42883.02,42898.7,34.23267
1644689280000,2022-02-12 18:08:00,BTC/USDT,42906.96,42921.08,42870.57,42899.97,28.16432
1644689220000,2022-02-12 18:07:00,BTC/USDT,42863.2,42923.8,42850.46,42906.96,83.21475
1644689160000,2022-02-12 18:06:00,BTC/USDT,42808.3,42868.9,42808.29,42863.19,22.45549
1644689100000,2022-02-12 18:05:00,BTC/USDT,42794.13,42808.3,42759.5,42808.3,15.69548
1644689040000,2022-02-12 18:04:00,BTC/USDT,42827.99,42839.09,42793.79,42797.04,25.59639
1644688980000,2022-02-12 18:03:00,BTC/USDT,42798.1,42870.31,42798.09,42828,105.12185
1644688920000,2022-02-12 18:02:00,BTC/USDT,42769.01,42798.1,42761.76,42798.1,13.82249
1644688860000,2022-02-12 18:01:00,BTC/USDT,42758.37,42777.7,42740.05,42769.01,33.78398
1644688800000,2022-02-12 18:00:00,BTC/USDT,42723.94,42776.99,42723.94,42758.37,30.9935
1644688740000,2022-02-12 17:59:00,BTC/USDT,42749.99,42750,42723.94,42723.95,7.73068
1644688680000,2022-02-12 17:58:00,BTC/USDT,42727.23,42750.53,42723.94,42749.99,34.06569
1644688620000,2022-02-12 17:57:00,BTC/USDT,42706.51,42732.13,42706.5,42727.23,10.55815
1644688560000,2022-02-12 17:56:00,BTC/USDT,42693.66,42706.51,42684.85,42706.5,5.46048
1644688500000,2022-02-12 17:55:00,BTC/USDT,42700.41,42700.43,42672.32,42693.66,9.68913
1644688440000,2022-02-12 17:54:00,BTC/USDT,42686.18,42713.07,42681.57,42700.42,6.34781
1644688380000,2022-02-12 17:53:00,BTC/USDT,42698.07,42705.64,42673.27,42686.19,6.9857
1644688320000,2022-02-12 17:52:00,BTC/USDT,42678.92,42713,42677,42698.07,9.52516
1644688260000,2022-02-12 17:51:00,BTC/USDT,42674.14,42689.9,42674.14,42678.91,7.73642
1644688200000,2022-02-12 17:50:00,BTC/USDT,42680.02,42681.28,42650.6,42674.15,9.31673
1644688140000,2022-02-12 17:49:00,BTC/USDT,42668.5,42680.03,42668.49,42680.02,7.75965
1644688080000,2022-02-12 17:48:00,BTC/USDT,42659.34,42677.37,42659.34,42668.5,6.88457
1644688020000,2022-02-12 17:47:00,BTC/USDT,42643.94,42659.73,42641.6,42659.35,6.07086
1644687960000,2022-02-12 17:46:00,BTC/USDT,42631.14,42650,42631.14,42643.94,8.03184
1644687900000,2022-02-12 17:45:00,BTC/USDT,42621.61,42643.58,42600.88,42631.15,6.31924
1644687840000,2022-02-12 17:44:00,BTC/USDT,42615.01,42628.89,42615,42621.61,4.34594
1644687780000,2022-02-12 17:43:00,BTC/USDT,42613.3,42619.99,42613.3,42615,4.25335
1644687720000,2022-02-12 17:42:00,BTC/USDT,42600.07,42622.17,42600.06,42613.3,6.77966
1644687660000,2022-02-12 17:41:00,BTC/USDT,42613.92,42613.93,42593.36,42600.07,6.67185
1644687600000,2022-02-12 17:40:00,BTC/USDT,42589.95,42616.95,42572.51,42613.93,12.97053
1644687540000,2022-02-12 17:39:00,BTC/USDT,42581.36,42617.81,42575.16,42589.96,10.44885
1644687480000,2022-02-12 17:38:00,BTC/USDT,42571.59,42594.87,42558.8,42581.36,7.90784
1644687420000,2022-02-12 17:37:00,BTC/USDT,42580,42581.38,42548.62,42571.6,13.50552
1644687360000,2022-02-12 17:36:00,BTC/USDT,42594.84,42616.93,42575.27,42580.01,13.21308
1644687300000,2022-02-12 17:35:00,BTC/USDT,42580,42631.09,42576.49,42594.84,16.63595
1644687240000,2022-02-12 17:34:00,BTC/USDT,42630.36,42630.37,42579.76,42580.01,28.70884
1644687180000,2022-02-12 17:33:00,BTC/USDT,42666.5,42670.79,42630.36,42630.36,13.50907
1644687120000,2022-02-12 17:32:00,BTC/USDT,42652.58,42677.88,42652.58,42666.5,9.1094
1644687060000,2022-02-12 17:31:00,BTC/USDT,42642.12,42663.04,42642.11,42652.58,4.1047
1644687000000,2022-02-12 17:30:00,BTC/USDT,42630.88,42651.99,42630.36,42642.11,5.42001
1644686940000,2022-02-12 17:29:00,BTC/USDT,42628.95,42638.33,42627.74,42630.88,5.15519
1644686880000,2022-02-12 17:28:00,BTC/USDT,42639.09,42656,42626.43,42628.95,11.84867
1644686820000,2022-02-12 17:27:00,BTC/USDT,42636,42659.6,42635.32,42639.09,9.19326
1644686760000,2022-02-12 17:26:00,BTC/USDT,42635.27,42643.4,42631.91,42636.01,8.92091
1644686700000,2022-02-12 17:25:00,BTC/USDT,42640.52,42654.8,42626.03,42635.28,7.21876
1644686640000,2022-02-12 17:24:00,BTC/USDT,42626.04,42645.6,42626.03,42640.52,7.67597
1644686580000,2022-02-12 17:23:00,BTC/USDT,42632.85,42650,42623.69,42626.03,10.46396
1644686520000,2022-02-12 17:22:00,BTC/USDT,42622.19,42632.86,42607.05,42632.84,10.72016
1644686460000,2022-02-12 17:21:00,BTC/USDT,42638.68,42638.68,42598.3,42622.19,16.76321
1644686400000,2022-02-12 17:20:00,BTC/USDT,42668.02,42668.03,42638.67,42638.68,6.86707
1644686340000,2022-02-12 17:19:00,BTC/USDT,42636.55,42677.61,42633.49,42668.02,11.79544
1644686280000,2022-02-12 17:18:00,BTC/USDT,42666.71,42666.71,42625.63,42636.56,15.53576
1644686220000,2022-02-12 17:17:00,BTC/USDT,42638.67,42670.54,42629.23,42666.71,15.0433
1644686160000,2022-02-12 17:16:00,BTC/USDT,42682.57,42682.58,42627.73,42638.67,10.4716
1644686100000,2022-02-12 17:15:00,BTC/USDT,42657.01,42700,42656.28,42682.58,16.831
1644686040000,2022-02-12 17:14:00,BTC/USDT,42671.47,42671.48,42652.75,42657.01,6.43575
1644685980000,2022-02-12 17:13:00,BTC/USDT,42654.9,42683.85,42650.45,42671.47,29.93694
1644685920000,2022-02-12 17:12:00,BTC/USDT,42668,42668.01,42638.92,42654.9,18.63151
1644685860000,2022-02-12 17:11:00,BTC/USDT,42655.31,42677.7,42651.49,42668.01,13.52078
1644685800000,2022-02-12 17:10:00,BTC/USDT,42693.86,42698.29,42653.17,42655.31,17.91956
1644685740000,2022-02-12 17:09:00,BTC/USDT,42680.88,42716.49,42670.48,42693.86,17.33002
1644685680000,2022-02-12 17:08:00,BTC/USDT,42689.56,42717.63,42676,42681.19,12.6486
1644685620000,2022-02-12 17:07:00,BTC/USDT,42717.71,42717.71,42676,42689.57,20.75098
1644685560000,2022-02-12 17:06:00,BTC/USDT,42726.28,42744.73,42715.07,42717.7,48.10675
1644685500000,2022-02-12 17:05:00,BTC/USDT,42732.91,42746.89,42704.54,42726.28,27.32368
1644685440000,2022-02-12 17:04:00,BTC/USDT,42748.97,42804.03,42727,42732.9,90.20249
1644685380000,2022-02-12 17:03:00,BTC/USDT,42750.64,42765.36,42735.01,42748.96,32.42075
1644685320000,2022-02-12 17:02:00,BTC/USDT,42732.51,42765.37,42716.16,42753.37,26.89874
1644685260000,2022-02-12 17:01:00,BTC/USDT,42695.25,42738.25,42674.48,42732.52,23.43513
1644685200000,2022-02-12 17:00:00,BTC/USDT,42730.49,42730.5,42686.34,42695.25,24.16073
1644685140000,2022-02-12 16:59:00,BTC/USDT,42743.84,42759.87,42677.57,42730.49,110.16412
1644685080000,2022-02-12 16:58:00,BTC/USDT,42729.08,42749.69,42705.47,42743.84,22.41325
1644685020000,2022-02-12 16:57:00,BTC/USDT,42780.02,42781.52,42703.53,42729.09,52.80642
1644684960000,2022-02-12 16:56:00,BTC/USDT,42756.26,42806.65,42736.07,42780.45,139.19498
1644684900000,2022-02-12 16:55:00,BTC/USDT,42732.45,42769.97,42700,42756.27,96.90416
1644684840000,2022-02-12 16:54:00,BTC/USDT,42662,42773.72,42660.61,42729.87,116.08076
1644684780000,2022-02-12 16:53:00,BTC/USDT,42615.63,42674.86,42615.62,42661.94,27.86698
1644684720000,2022-02-12 16:52:00,BTC/USDT,42598.83,42638.09,42598.82,42615.63,21.01331
1644684660000,2022-02-12 16:51:00,BTC/USDT,42567.99,42600,42553.11,42598.83,44.08076
1644684600000,2022-02-12 16:50:00,BTC/USDT,42585.29,42587.52,42535.65,42567.99,19.86728
1644684540000,2022-02-12 16:49:00,BTC/USDT,42612.8,42616.97,42546.75,42585.29,22.45631
1644684480000,2022-02-12 16:48:00,BTC/USDT,42576.8,42625.39,42576.8,42612.8,18.50078
1644684420000,2022-02-12 16:47:00,BTC/USDT,42579.42,42613.65,42571.01,42576.8,44.5766
1644684360000,2022-02-12 16:46:00,BTC/USDT,42614.69,42624.27,42539.91,42578.06,41.1566
1644684300000,2022-02-12 16:45:00,BTC/USDT,42633,42690.1,42580.37,42614.69,104.80263
1644684240000,2022-02-12 16:44:00,BTC/USDT,42676.46,42703.32,42631.78,42636.25,27.99923
1644684180000,2022-02-12 16:43:00,BTC/USDT,42678.02,42700.32,42645.03,42676.47,33.24307
1644684120000,2022-02-12 16:42:00,BTC/USDT,42700.01,42702.2,42650,42678.01,24.62246
1644684060000,2022-02-12 16:41:00,BTC/USDT,42731.39,42749.12,42646.95,42697.37,69.85761
1644684000000,2022-02-12 16:40:00,BTC/USDT,42611.84,42799,42574.98,42731.4,227.3005
1644683940000,2022-02-12 16:39:00,BTC/USDT,42425.48,42673.87,42421.36,42611.84,223.07402
1644683880000,2022-02-12 16:38:00,BTC/USDT,42409.7,42437.45,42382.89,42425.49,12.40368
1644683820000,2022-02-12 16:37:00,BTC/USDT,42445.28,42459.24,42401.01,42409.7,74.93741
