https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1647788640000,2022-03-20 15:04:00,BTC/USDT,41430.39,41430.39,41388.13,41389.72,12.35272
1647788580000,2022-03-20 15:03:00,BTC/USDT,41437.36,41440.25,41430.38,41430.38,9.03257
1647788520000,2022-03-20 15:02:00,BTC/USDT,41434.6,41439.1,41425.27,41437.37,12.30831
1647788460000,2022-03-20 15:01:00,BTC/USDT,41414,41444.51,41413.99,41434.6,20.58591
1647788400000,2022-03-20 15:00:00,BTC/USDT,41426.7,41426.71,41405,41414,23.88988
1647788340000,2022-03-20 14:59:00,BTC/USDT,41384,41426.71,41381.98,41426.71,15.42386
1647788280000,2022-03-20 14:58:00,BTC/USDT,41368.86,41398.18,41359.91,41384,29.99799
1647788220000,2022-03-20 14:57:00,BTC/USDT,41377.62,41392.99,41354.54,41368.86,23.72376
1647788160000,2022-03-20 14:56:00,BTC/USDT,41399,41400,41372.01,41377.62,8.55521
1647788100000,2022-03-20 14:55:00,BTC/USDT,41410,41410.01,41371.25,41398.99,17.55021
1647788040000,2022-03-20 14:54:00,BTC/USDT,41426.01,41426.01,41410,41410,10.11695
1647787980000,2022-03-20 14:53:00,BTC/USDT,41435.12,41435.13,41415.31,41426.01,12.17068
1647787920000,2022-03-20 14:52:00,BTC/USDT,41425.97,41441.89,41420.02,41435.12,19.9609
1647787860000,2022-03-20 14:51:00,BTC/USDT,41418.07,41425.97,41392.74,41425.97,51.32772
1647787800000,2022-03-20 14:50:00,BTC/USDT,41445.3,41445.71,41417.18,41417.18,4.61003
1647787740000,2022-03-20 14:49:00,BTC/USDT,41447,41456,41440,41445.3,17.02282
1647787680000,2022-03-20 14:48:00,BTC/USDT,41431.99,41456,41428.29,41447.01,13.54298
1647787620000,2022-03-20 14:47:00,BTC/USDT,41437.37,41440.01,41400,41431.99,47.28848
1647787560000,2022-03-20 14:46:00,BTC/USDT,41434.91,41446.28,41402,41437.37,33.33815
1647787500000,2022-03-20 14:45:00,BTC/USDT,41448.42,41480.99,41433.02,41434.92,18.37783
1647787440000,2022-03-20 14:44:00,BTC/USDT,41436.59,41466.45,41434.49,41448.42,19.99353
1647787380000,2022-03-20 14:43:00,BTC/USDT,41461.99,41464.99,41430.13,41436.59,27.25478
1647787320000,2022-03-20 14:42:00,BTC/USDT,41474.01,41480.01,41453.84,41462,21.9214
1647787260000,2022-03-20 14:41:00,BTC/USDT,41505.17,41505.17,41469.48,41474,20.16771
1647787200000,2022-03-20 14:40:00,BTC/USDT,41507.49,41510,41503.59,41505.16,10.88585
1647787140000,2022-03-20 14:39:00,BTC/USDT,41521.54,41524.61,41507.49,41507.5,15.79173
1647787080000,2022-03-20 14:38:00,BTC/USDT,41520.44,41524.99,41520.44,41521.55,4.89145
1647787020000,2022-03-20 14:37:00,BTC/USDT,41522.98,41525,41520.44,41520.45,9.89662
1647786960000,2022-03-20 14:36:00,BTC/USDT,41518.46,41534.82,41507.48,41522.15,11.37576
1647786900000,2022-03-20 14:35:00,BTC/USDT,41509.42,41522.36,41509.42,41518.47,8.58948
1647786840000,2022-03-20 14:34:00,BTC/USDT,41530.02,41530.02,41505.46,41509.42,6.56546
1647786780000,2022-03-20 14:33:00,BTC/USDT,41538.52,41540,41523.25,41530.01,3.61582
1647786720000,2022-03-20 14:32:00,BTC/USDT,41530.85,41538.52,41528.72,41538.52,11.27518
1647786660000,2022-03-20 14:31:00,BTC/USDT,41525.44,41540,41517.92,41530.85,15.51285
1647786600000,2022-03-20 14:30:00,BTC/USDT,41495.86,41525.44,41480,41525.43,37.33488
1647786540000,2022-03-20 14:29:00,BTC/USDT,41515,41520.5,41495.85,41495.85,18.42849
1647786480000,2022-03-20 14:28:00,BTC/USDT,41535.35,41535.35,41515,41515,6.59714
1647786420000,2022-03-20 14:27:00,BTC/USDT,41536.25,41538.34,41517.03,41535.34,9.40704
1647786360000,2022-03-20 14:26:00,BTC/USDT,41545.15,41557,41536.25,41536.26,17.34108
1647786300000,2022-03-20 14:25:00,BTC/USDT,41551.8,41551.81,41542.12,41545.14,11.88153
1647786240000,2022-03-20 14:24:00,BTC/USDT,41558.07,41559.36,41551.8,41551.81,7.73368
1647786180000,2022-03-20 14:23:00,BTC/USDT,41562.46,41574.31,41557.14,41558.07,13.42289
1647786120000,2022-03-20 14:22:00,BTC/USDT,41551.79,41566.72,41540.49,41562.47,25.27414
1647786060000,2022-03-20 14:21:00,BTC/USDT,41572.18,41572.19,41551.79,41551.8,5.93184
1647786000000,2022-03-20 14:20:00,BTC/USDT,41616.54,41616.55,41564.99,41572.19,40.79899
1647785940000,2022-03-20 14:19:00,BTC/USDT,41584.87,41617.1,41584.87,41616.54,16.37701
1647785880000,2022-03-20 14:18:00,BTC/USDT,41581.99,41588,41573.9,41584.88,15.38163
1647785820000,2022-03-20 14:17:00,BTC/USDT,41586.76,41586.76,41574.97,41582,10.29575
1647785760000,2022-03-20 14:16:00,BTC/USDT,41566.16,41587.93,41566.16,41586.75,20.01318
1647785700000,2022-03-20 14:15:00,BTC/USDT,41560.5,41566.99,41555.18,41566.16,17.69422
1647785640000,2022-03-20 14:14:00,BTC/USDT,41567.01,41579.58,41560.49,41560.51,25.90427
1647785580000,2022-03-20 14:13:00,BTC/USDT,41566.89,41575.26,41566.89,41567,16.25941
1647785520000,2022-03-20 14:12:00,BTC/USDT,41559.22,41571.2,41559.22,41566.89,27.46048
1647785460000,2022-03-20 14:11:00,BTC/USDT,41547.35,41568.95,41544.78,41559.23,14.32239
1647785400000,2022-03-20 14:10:00,BTC/USDT,41559.52,41566.21,41544.03,41547.35,16.99981
1647785340000,2022-03-20 14:09:00,BTC/USDT,41522,41569.77,41521.99,41559.51,12.23723
1647785280000,2022-03-20 14:08:00,BTC/USDT,41532.04,41559.84,41518.74,41521.99,21.58785
1647785220000,2022-03-20 14:07:00,BTC/USDT,41507.53,41550,41507.53,41532.05,25.34848
1647785160000,2022-03-20 14:06:00,BTC/USDT,41456.64,41522.77,41452.75,41507.54,27.43259
1647785100000,2022-03-20 14:05:00,BTC/USDT,41519.85,41519.85,41400,41456.64,155.43139
1647785040000,2022-03-20 14:04:00,BTC/USDT,41561.77,41561.77,41471,41519.85,80.2645
1647784980000,2022-03-20 14:03:00,BTC/USDT,41522.73,41672.64,41479.11,41561.76,221.98167
1647784920000,2022-03-20 14:02:00,BTC/USDT,41479.1,41529.46,41479.1,41522.72,30.3365
1647784860000,2022-03-20 14:01:00,BTC/USDT,41464.58,41480,41417.36,41479.11,52.84485
1647784800000,2022-03-20 14:00:00,BTC/USDT,41485.47,41485.48,41464.58,41464.58,13.50468
1647784740000,2022-03-20 13:59:00,BTC/USDT,41477.83,41486.53,41465.15,41485.48,13.56138
1647784680000,2022-03-20 13:58:00,BTC/USDT,41488.21,41488.21,41475.62,41477.84,10.16441
1647784620000,2022-03-20 13:57:00,BTC/USDT,41478.37,41492,41476.09,41488.21,6.64795
1647784560000,2022-03-20 13:56:00,BTC/USDT,41500,41500.01,41478.36,41478.37,10.13367
1647784500000,2022-03-20 13:55:00,BTC/USDT,41529.46,41529.47,41500,41500,11.42247
1647784440000,2022-03-20 13:54:00,BTC/USDT,41523.1,41550,41523.09,41529.46,11.89738
1647784380000,2022-03-20 13:53:00,BTC/USDT,41513.72,41529.48,41513.72,41523.1,5.805
1647784320000,2022-03-20 13:52:00,BTC/USDT,41513.49,41523.76,41513.49,41513.72,5.28778
1647784260000,2022-03-20 13:51:00,BTC/USDT,41543.29,41543.3,41507.01,41513.49,21.48774
1647784200000,2022-03-20 13:50:00,BTC/USDT,41559.18,41560.99,41543.29,41543.29,8.38797
1647784140000,2022-03-20 13:49:00,BTC/USDT,41569,41573.01,41559.17,41559.18,23.81723
1647784080000,2022-03-20 13:48:00,BTC/USDT,41583.91,41588,41569,41569,8.69535
1647784020000,2022-03-20 13:47:00,BTC/USDT,41569.99,41596.1,41569.99,41583.91,10.3179
1647783960000,2022-03-20 13:46:00,BTC/USDT,41588.35,41599,41564.07,41569.99,12.79615
1647783900000,2022-03-20 13:45:00,BTC/USDT,41563.35,41588.36,41557,41588.36,8.146
1647783840000,2022-03-20 13:44:00,BTC/USDT,41540.34,41563.35,41533.96,41563.35,7.2513
1647783780000,2022-03-20 13:43:00,BTC/USDT,41540.01,41557.89,41540,41540.35,8.32351
1647783720000,2022-03-20 13:42:00,BTC/USDT,41537,41552.82,41537,41540.01,14.11936
1647783660000,2022-03-20 13:41:00,BTC/USDT,41529.58,41545.37,41524.38,41537,13.13571
1647783600000,2022-03-20 13:40:00,BTC/USDT,41477.01,41529.58,41477,41529.58,22.32084
1647783540000,2022-03-20 13:39:00,BTC/USDT,41471.71,41492.51,41464.98,41477,17.85177
1647783480000,2022-03-20 13:38:00,BTC/USDT,41497.69,41497.69,41471.7,41471.7,13.07604
1647783420000,2022-03-20 13:37:00,BTC/USDT,41492.33,41501.43,41492.32,41497.68,7.45458
1647783360000,2022-03-20 13:36:00,BTC/USDT,41519.41,41519.41,41492.32,41492.32,23.84771
1647783300000,2022-03-20 13:35:00,BTC/USDT,41512.81,41525.59,41510,41519.4,8.47215
1647783240000,2022-03-20 13:34:00,BTC/USDT,41534.46,41535.25,41512.8,41512.81,16.63092
1647783180000,2022-03-20 13:33:00,BTC/USDT,41530.99,41549.9,41530.99,41534.45,7.77741
