https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1648402740000,2022-03-27 17:39:00,BTC/USDT,44838.53,44838.54,44820.14,44820.15,5.10854
1648402680000,2022-03-27 17:38:00,BTC/USDT,44820.72,44840,44820.72,44838.54,19.06203
1648402620000,2022-03-27 17:37:00,BTC/USDT,44821,44821,44814,44820.73,5.36655
1648402560000,2022-03-27 17:36:00,BTC/USDT,44803.5,44821,44803.5,44820.99,12.82278
1648402500000,2022-03-27 17:35:00,BTC/USDT,44812.59,44812.59,44803.5,44803.51,4.40559
1648402440000,2022-03-27 17:34:00,BTC/USDT,44807.1,44812.59,44793.41,44812.59,7.30358
1648402380000,2022-03-27 17:33:00,BTC/USDT,44785.18,44810.68,44783.37,44807.09,7.2649
1648402320000,2022-03-27 17:32:00,BTC/USDT,44800.29,44800.29,44783.37,44783.37,13.6997
1648402260000,2022-03-27 17:31:00,BTC/USDT,44814,44814.01,44800.28,44800.29,5.83193
1648402200000,2022-03-27 17:30:00,BTC/USDT,44824.51,44830.69,44814,44814.01,7.98505
1648402140000,2022-03-27 17:29:00,BTC/USDT,44800.82,44824.51,44800.82,44824.5,8.43673
1648402080000,2022-03-27 17:28:00,BTC/USDT,44806.94,44806.95,44790.2,44800.83,7.98357
1648402020000,2022-03-27 17:27:00,BTC/USDT,44807.01,44840.84,44806.94,44806.94,7.55337
1648401960000,2022-03-27 17:26:00,BTC/USDT,44803.51,44811.39,44803.5,44807.01,10.79869
1648401900000,2022-03-27 17:25:00,BTC/USDT,44794.04,44813.73,44794.04,44803.51,12.85006
1648401840000,2022-03-27 17:24:00,BTC/USDT,44815.11,44815.11,44794.04,44794.05,6.93559
1648401780000,2022-03-27 17:23:00,BTC/USDT,44796.53,44845.07,44793,44815.1,88.54511
1648401720000,2022-03-27 17:22:00,BTC/USDT,44792.99,44796.66,44792.99,44796.53,18.43797
1648401660000,2022-03-27 17:21:00,BTC/USDT,44785.17,44793,44777.73,44793,11.96035
1648401600000,2022-03-27 17:20:00,BTC/USDT,44798.89,44810.27,44785.17,44785.17,11.91733
1648401540000,2022-03-27 17:19:00,BTC/USDT,44793.53,44798.89,44778.93,44798.89,25.74251
1648401480000,2022-03-27 17:18:00,BTC/USDT,44800,44800.01,44793.53,44793.53,25.50164
1648401420000,2022-03-27 17:17:00,BTC/USDT,44822.24,44822.24,44800,44800,15.20041
1648401360000,2022-03-27 17:16:00,BTC/USDT,44821.2,44822.24,44804.96,44822.24,14.30442
1648401300000,2022-03-27 17:15:00,BTC/USDT,44821.38,44841.93,44821.01,44821.01,13.54016
1648401240000,2022-03-27 17:14:00,BTC/USDT,44825.66,44825.66,44800.82,44821.39,31.24506
1648401180000,2022-03-27 17:13:00,BTC/USDT,44811.87,44825.66,44808.08,44825.66,14.54976
1648401120000,2022-03-27 17:12:00,BTC/USDT,44831.62,44832.53,44811.87,44811.87,18.44867
1648401060000,2022-03-27 17:11:00,BTC/USDT,44802.05,44831.63,44802.05,44831.63,13.68327
1648401000000,2022-03-27 17:10:00,BTC/USDT,44821,44838.49,44802.05,44802.06,15.75677
1648400940000,2022-03-27 17:09:00,BTC/USDT,44837.65,44837.66,44812.01,44821,20.15854
1648400880000,2022-03-27 17:08:00,BTC/USDT,44810.49,44838.5,44806.63,44837.65,9.94178
1648400820000,2022-03-27 17:07:00,BTC/USDT,44855.67,44859.47,44810.49,44810.5,49.43694
1648400760000,2022-03-27 17:06:00,BTC/USDT,44862.96,44864.6,44850,44855.67,20.17082
1648400700000,2022-03-27 17:05:00,BTC/USDT,44880.97,44880.98,44857.61,44862.96,11.66985
1648400640000,2022-03-27 17:04:00,BTC/USDT,44893.02,44893.03,44880.97,44880.98,11.71067
1648400580000,2022-03-27 17:03:00,BTC/USDT,44871.32,44893.03,44871.32,44893.02,14.91379
1648400520000,2022-03-27 17:02:00,BTC/USDT,44876.14,44895.11,44871.32,44871.32,29.27269
1648400460000,2022-03-27 17:01:00,BTC/USDT,44915.04,44915.05,44876.14,44876.15,36.54134
1648400400000,2022-03-27 17:00:00,BTC/USDT,44950,44966,44915.04,44915.04,25.53931
1648400340000,2022-03-27 16:59:00,BTC/USDT,44903.77,44950,44902.95,44950,46.74305
1648400280000,2022-03-27 16:58:00,BTC/USDT,44908.52,44911.04,44893,44903.78,19.53158
1648400220000,2022-03-27 16:57:00,BTC/USDT,44907.46,44908.52,44902.44,44908.51,10.76134
1648400160000,2022-03-27 16:56:00,BTC/USDT,44907.41,44930.77,44907.41,44907.46,13.56919
1648400100000,2022-03-27 16:55:00,BTC/USDT,44896.01,44924.43,44893.52,44907.42,14.32769
1648400040000,2022-03-27 16:54:00,BTC/USDT,44915.22,44915.23,44887.6,44896.02,10.67735
1648399980000,2022-03-27 16:53:00,BTC/USDT,44917.08,44927.88,44905,44915.23,17.79383
1648399920000,2022-03-27 16:52:00,BTC/USDT,44946.29,44946.3,44905.84,44917.08,19.94158
1648399860000,2022-03-27 16:51:00,BTC/USDT,44945.88,44954.7,44937.79,44946.29,40.39097
1648399800000,2022-03-27 16:50:00,BTC/USDT,44914.98,44951.66,44914.94,44945.89,18.50272
1648399740000,2022-03-27 16:49:00,BTC/USDT,44957.36,44962.59,44914.96,44914.96,60.39157
1648399680000,2022-03-27 16:48:00,BTC/USDT,44906.19,44973.3,44898.08,44957.35,77.5197
1648399620000,2022-03-27 16:47:00,BTC/USDT,44855.94,44937.71,44855.93,44906.18,33.52757
1648399560000,2022-03-27 16:46:00,BTC/USDT,44853.04,44856.1,44842,44855.94,21.18015
1648399500000,2022-03-27 16:45:00,BTC/USDT,44861.65,44881.44,44849.99,44853.05,25.30999
1648399440000,2022-03-27 16:44:00,BTC/USDT,44811.56,44861.66,44811.56,44861.66,17.05281
1648399380000,2022-03-27 16:43:00,BTC/USDT,44803.57,44824.24,44760.3,44811.57,46.72446
1648399320000,2022-03-27 16:42:00,BTC/USDT,44816.42,44817.49,44789.56,44803.58,14.35438
1648399260000,2022-03-27 16:41:00,BTC/USDT,44779.72,44821,44779.72,44816.42,39.51043
1648399200000,2022-03-27 16:40:00,BTC/USDT,44793.66,44852.5,44765.59,44779.72,61.37336
1648399140000,2022-03-27 16:39:00,BTC/USDT,44899.85,44988.56,44791.83,44793.66,228.12729
1648399080000,2022-03-27 16:38:00,BTC/USDT,44858.88,45036.04,44858.87,44899.85,609.80875
1648399020000,2022-03-27 16:37:00,BTC/USDT,44833.91,44866.65,44820.63,44858.88,46.82654
1648398960000,2022-03-27 16:36:00,BTC/USDT,44844.88,44849.58,44833.91,44833.91,15.93248
1648398900000,2022-03-27 16:35:00,BTC/USDT,44856,44858.63,44844.87,44844.88,6.42909
1648398840000,2022-03-27 16:34:00,BTC/USDT,44839.41,44860.69,44839.4,44856,5.45745
1648398780000,2022-03-27 16:33:00,BTC/USDT,44818.25,44839.41,44818.24,44839.4,10.93522
1648398720000,2022-03-27 16:32:00,BTC/USDT,44834.54,44845.93,44818.24,44818.24,19.84183
1648398660000,2022-03-27 16:31:00,BTC/USDT,44856.08,44856.08,44834.54,44834.54,12.62872
1648398600000,2022-03-27 16:30:00,BTC/USDT,44839.11,44872.04,44839.11,44856.07,24.57215
1648398540000,2022-03-27 16:29:00,BTC/USDT,44852,44857.22,44839.11,44839.12,6.93578
1648398480000,2022-03-27 16:28:00,BTC/USDT,44838.7,44852,44838.68,44852,10.1502
1648398420000,2022-03-27 16:27:00,BTC/USDT,44848.52,44852.81,44838.7,44838.7,15.85252
1648398360000,2022-03-27 16:26:00,BTC/USDT,44856,44856.01,44846.38,44848.51,13.30356
1648398300000,2022-03-27 16:25:00,BTC/USDT,44803.5,44884.06,44803.5,44856,57.1022
1648398240000,2022-03-27 16:24:00,BTC/USDT,44809.34,44809.42,44800.79,44803.51,14.52601
1648398180000,2022-03-27 16:23:00,BTC/USDT,44827.99,44831.5,44800,44809.33,12.14505
1648398120000,2022-03-27 16:22:00,BTC/USDT,44842.01,44842.01,44791.64,44827.99,50.29615
